"","Title","in_1","in_2","in_3","in_wiki","in_wiki_clean"
"1","Snow White and the Seven Dwarfs",TRUE,TRUE,TRUE,TRUE,TRUE
"2","Pinocchio",TRUE,TRUE,TRUE,TRUE,TRUE
"3","Fantasia",TRUE,TRUE,TRUE,FALSE,TRUE
"4","The Reluctant Dragon",TRUE,FALSE,TRUE,FALSE,TRUE
"5","Dumbo",TRUE,TRUE,TRUE,TRUE,TRUE
"6","Bambi",TRUE,TRUE,TRUE,TRUE,TRUE
"7","Saludos Amigos",TRUE,FALSE,TRUE,FALSE,TRUE
"8","Victory Through Air Power",TRUE,FALSE,FALSE,FALSE,TRUE
"9","The Three Caballeros",TRUE,TRUE,TRUE,FALSE,TRUE
"10","Make Mine Music",TRUE,TRUE,TRUE,TRUE,TRUE
"11","Song of the South",TRUE,FALSE,FALSE,FALSE,TRUE
"12","Fun and Fancy Free",TRUE,TRUE,FALSE,FALSE,TRUE
"13","Melody Time",TRUE,TRUE,FALSE,FALSE,TRUE
"14","So Dear to My Heart",TRUE,FALSE,TRUE,FALSE,TRUE
"15","The Adventures of Ichabod and Mr. Toad",TRUE,TRUE,TRUE,TRUE,TRUE
"16","Cinderella",TRUE,TRUE,TRUE,TRUE,TRUE
"17","Alice in Wonderland",TRUE,TRUE,TRUE,TRUE,TRUE
"18","Peter Pan",TRUE,TRUE,TRUE,TRUE,TRUE
"19","Lady and the Tramp",TRUE,TRUE,TRUE,TRUE,TRUE
"20","Sleeping Beauty",TRUE,TRUE,TRUE,TRUE,TRUE
"21","One Hundred and One Dalmatians",TRUE,TRUE,TRUE,TRUE,TRUE
"22","The Sword in the Stone",TRUE,TRUE,TRUE,TRUE,TRUE
"23","Mary Poppins",TRUE,FALSE,FALSE,FALSE,TRUE
"24","The Jungle Book",TRUE,TRUE,TRUE,TRUE,TRUE
"25","The Aristocats",TRUE,TRUE,TRUE,TRUE,TRUE
"26","Bedknobs and Broomsticks",TRUE,FALSE,FALSE,FALSE,TRUE
"27","Robin Hood",TRUE,TRUE,TRUE,TRUE,TRUE
"28","The Many Adventures of Winnie the Pooh",TRUE,TRUE,TRUE,FALSE,TRUE
"29","The Rescuers",TRUE,TRUE,TRUE,TRUE,TRUE
"30","Pete's Dragon",TRUE,FALSE,FALSE,FALSE,TRUE
"31","The Fox and the Hound",TRUE,TRUE,TRUE,TRUE,TRUE
"32","The Black Cauldron",TRUE,TRUE,TRUE,TRUE,TRUE
"33","The Great Mouse Detective",TRUE,TRUE,TRUE,TRUE,TRUE
"34","Who Framed Roger Rabbit",FALSE,FALSE,TRUE,FALSE,TRUE
"35","Oliver & Company",TRUE,TRUE,TRUE,TRUE,TRUE
"36","The Little Mermaid",TRUE,TRUE,TRUE,TRUE,TRUE
"37","DuckTales the Movie: Treasure of the Lost Lamp",TRUE,TRUE,TRUE,TRUE,TRUE
"38","The Rescuers Down Under",TRUE,TRUE,TRUE,TRUE,TRUE
"39","Beauty and the Beast",TRUE,TRUE,TRUE,TRUE,TRUE
"40","Aladdin",TRUE,TRUE,TRUE,TRUE,TRUE
"41","The Nightmare Before Christmas",FALSE,FALSE,FALSE,TRUE,TRUE
"42","The Lion King",TRUE,TRUE,TRUE,TRUE,TRUE
"43","A Goofy Movie",TRUE,TRUE,TRUE,TRUE,TRUE
"44","Pocahontas",TRUE,TRUE,TRUE,TRUE,TRUE
"45","Toy Story",TRUE,FALSE,FALSE,TRUE,TRUE
"46","James and the Giant Peach",TRUE,FALSE,FALSE,FALSE,TRUE
"47","The Hunchback of Notre Dame",TRUE,TRUE,TRUE,TRUE,TRUE
"48","Hercules",TRUE,TRUE,TRUE,TRUE,TRUE
"49","Mulan",TRUE,TRUE,TRUE,TRUE,TRUE
"50","A Bug's Life",TRUE,FALSE,FALSE,TRUE,TRUE
"51","Doug's 1st Movie",TRUE,FALSE,FALSE,TRUE,TRUE
"52","Tarzan",TRUE,TRUE,TRUE,TRUE,TRUE
"53","Toy Story 2",TRUE,FALSE,FALSE,TRUE,TRUE
"54","Fantasia 2000",TRUE,TRUE,TRUE,FALSE,TRUE
"55","The Tigger Movie",TRUE,FALSE,FALSE,TRUE,TRUE
"56","Dinosaur",TRUE,TRUE,TRUE,TRUE,TRUE
"57","The Emperor's New Groove",TRUE,TRUE,TRUE,TRUE,TRUE
"58","Recess: School's Out",TRUE,FALSE,FALSE,TRUE,TRUE
"59","Atlantis: The Lost Empire",TRUE,TRUE,TRUE,TRUE,TRUE
"60","Monsters, Inc.",TRUE,FALSE,FALSE,TRUE,TRUE
"61","Return to Never Land",TRUE,FALSE,TRUE,TRUE,TRUE
"62","Lilo & Stitch",TRUE,TRUE,TRUE,TRUE,TRUE
"63","Treasure Planet",TRUE,TRUE,TRUE,TRUE,TRUE
"64","The Jungle Book 2",TRUE,FALSE,TRUE,TRUE,TRUE
"65","Piglet's Big Movie",TRUE,FALSE,FALSE,TRUE,TRUE
"66","The Lizzie McGuire Movie",FALSE,FALSE,FALSE,FALSE,TRUE
"67","Finding Nemo",TRUE,FALSE,FALSE,TRUE,TRUE
"68","Brother Bear",TRUE,TRUE,TRUE,TRUE,TRUE
"69","Teacher's Pet",TRUE,FALSE,FALSE,TRUE,TRUE
"70","Home on the Range",TRUE,TRUE,TRUE,TRUE,TRUE
"71","The Incredibles",TRUE,FALSE,FALSE,TRUE,TRUE
"72","Pooh's Heffalump Movie",TRUE,FALSE,FALSE,TRUE,TRUE
